SKILLS
"Python, Data Analysis, Machine Learning, Statistics, SQL, Communication, Leadership, Problem Solving"
"tcp, network infrastructure, ip protocols, tcp ip protocol, system architecture, information technology, ip, dns"
"software development life cycle, .net, object oriented programming, sdlc, agile methodology, version control, microsoft asp.net, svn"
"agile model, kanban, scrum, agile, jira, project management, software testing, regression testing"
"sap, application design, sap configuration, sap netweaver, sap basis administration, sap upgrade, sap project management, oracle"
"networking concepts, system administration, aix administration, troubleshooting, protocols, python, vmware, dns"
"cds, ricefw development, amdp, sap abap development, sap hana, bdc, sap, web services"
"software development life cycle, java, xml, webmethods fabric, agile methodology, rest, jdbc, javascript"
"financial analysis, intercompany accounting, bank accounting, record to report, asset, ledger, fixed assets, erp"
"information technology, critical incident management, cloud support, incident management, itil processes, production, documentation, microsoft azure"
"sap configuration, cloud technologies, sap basis administration, sap hana, sql database, ms azure, sap, sybase"
"software development, java collections, hibernate, j2ee, agile, oracle, jsp, jdbc"
"front end, angular, web development, html, agile, css, version control, bootstrap"
"physical design, lvs, power analysis, drc, tcl, synthesis, sta, python"
"c#, sap, application design, application development, project delivery, asp.net mvc, project management, entity framework"
"trello, software engineering, jira, .net, agile, css, web services, ado.net"
"software development, svn, javascript, node, postgresql, version control, unit testing, application development"
"information technology, general ledger, oracle financials, software development life cycle, agile methodology, accounts receivable, accounts payable, oracle"
"java development, java, j2ee, debugging, software testing, ado.net, mockito, autocad"
"cloud security, information technology, microsoft azure, security engineering, security services, security operations, architecting, cyber security"
"design concepts, cms, content designing, agile, ux design, ux, user interface designing, infographics"
"sap abap development, hana database, troubleshooting, sap hana, sap abap, sap, performance tuning, strong analytical skills"
"software development, java development, spring boot, java, debugging, rest, python, software testing"
"sap, software testing, sap mm materials management, material management, sap quality management, sap project management, software development, information technology"
"process quality assurance, software testing, svn, application development, spring boot, software development, version control, aws lambda"
"sap netweaver gateway, sap abap development, sap web ide, sap hana, sap abap, rest, css, sap"
"management consulting, workday, business advisory, budgeting, recruitment, project management, business analysis, business development"
"financial analysis, investment banking, business partnering, research and development, investment management, program management, medical underwriting, research"
"business advisory, business development, client onboarding, marketing, safety, management consulting, project management, company audit"
"project management, microsoft azure, java standard edition, spring, java, law, teaching, hibernate"
"software development, javascript, node, node.js, web technologies, css, oracle, version control"
"accounting, process management, partnerships, quantitative, financial reporting, risk management, mitigation, management skills"
"websphere mq, ibm integration bus, websphere message broker, java, application support, mq series, oracle, mq"
"server migration, docker, ansible, aws cloud, aws, kubernetes, vmware vsphere, vmware"
"workday, talent acquisition, service delivery, recruitment, end to end recruitment, screening, hr generalist activities, presentation skills"
"sap, sap module, sap crm, web ui, sap abap, rest, css, web services"
"rest, software development, angular, git, web development, c#, css, web services"
"microsoft power bi, forecasting, variance analysis, sap fico, financial planning, financial analysis, accounts receivable, accounts payable"
"database performance tuning, mysql database administration, sql scripting, query optimization, troubleshooting, python, c++, machine learning"
"manufacturing engineering, production support, application support, linux, manufacturing, switching, tcp, python"
"information technology, sap business objects data services, sap bw, data integration, etl process, sap, sap ecc, application development"
"continuous integration, eks, application support, kafka, gitlab, information technology, cloud development, aws administration"
"functional, presentation skills, artificial intelligence, uipath, process transformation, c#, rpa, abbyy"
"sap, sap pi, sap pi po, pi, api, c#, rest, web services"
"application engineering, autocad, application development, pipeline, agile, project management, software development, mechanical engineering"
"sap, bapis, rfcs, sap abap development, software engineering, bdc, data dictionary, user exits"
"customer service, insurance operations, customer support, client support, customer experience, defined benefits, operations management, project management"
"warehouse, sap ewm, software development life cycle, sap warehouse management, agile methodology, process integration, sap, oracle"
"sap, information technology, sap fi, sap vistex, sap fico, fico, strong analytical skills, sap sd"
"sap, information technology, abap programming, sap abap development, sap abap, functional, performance tuning, unit testing"
"sap erp, mdg, sap master data governance, abap programming, sap fiori, bdc, erp, sap"
"aws iam, networking, aws cloudformation, installation, cloud infrastructure, kubernetes, python, production"
"abap programming, sap abap development, sap abap, abap, abap objects, webdynpro, sap, unit testing"
"sap, information technology, sap fico, sap integration, abap, fico, c#, web services"
"team management, customer service, insurance operations, client support, customer experience, defined benefits, operations management, project management"
"information technology, data warehouse etl testing, etl testing, etl, etl process, python, data analysis, strong analytical skills"
"customer service, workforce management, sql, service delivery, wfm, data analysis, mis reporting, team management"
"information technology, aws cloudformation, itil processes, cloud infrastructure, troubleshooting, project management, production, microsoft azure"
"bapis, abap programming, sap abap development, sap abap, abap, sap, unit testing, user exits"
"networking concepts, system administration, desktop management, microsoft windows, troubleshooting, networking, technical support, incident management"
"python, data analytics, data analysis, sql, data modeling, 3d modeling, texturing, data warehousing"
"data management, asset management, capital market, corporate planning, asset, trading, financial analysis, investment banking"
"css, sql server, .net, software engineering, html, c#, web services, microsoft asp.net"
"svn, software development life cycle, java, cobol, agile methodology, c#, rest, oracle"
"software development, microservices, spring boot, agile, mongodb, rest, oracle, web services"
"plsql, revenue management, tier architecture, oracle brm, oracle finance, ece, ado.net, jquery"
"business advisory, talent retention, talent acquisition, employee engagement, performance management, hr generalist activities, employee relations, training"
"project management, presentation skills, sales, marketing, aws, product strategy, microsoft azure, business development"
"project management, information technology, infrastructure management services, stakeholder management, project management process, project / program management, mitigation, management skills"
"rest, software development, hibernate, java, j2ee, web services, java collections, javascript"
"c++, golang, hypervisor, operating systems, vpn, performance engineering, dbms, networking"
"database design, .net, software engineering, agile, database design and development, c#, css, asp.net mvc"
"customer service, insurance operations, transition, client support, customer experience, operations management, project management, team management"
"financial analysis, power bi, variance analysis, budgeting, fpa, accounts payable, mis reporting, forecasting"
"adobe, sql server, sql, salesforce, adobe campaign, digital marketing, c#, email marketing"
"salesforce lightning, software development life cycle, web technologies, sdlc, agile methodology, visualforce, css, software development"
"database management, db administration, troubleshooting, hana db, sap hana, sap, oracle, web services"
"data migration, sap business objects data services, agile, etl process, cockpit, software development, sap ecc, sql server"
"natural language processing, ssi, javascript, artificial intelligence, node, chatbot, css, python"
"business reporting, vlookup, reporting and analytics, vba, mis, project management, data analysis, data analytics"
"microsoft bot framework, software development, software testing, azure paas, artificial intelligence, c#, python, microsoft azure"
"ip, dns, telecommunication, nsx, web application firewall, checkpoint, switching, eigrp"
"software testing, test management, ruby, java, testing methodologies, quality process, continuous integration, python"
"microsoft asp.net, git, software development, sql server, .net, css, web services, ado.net"
"accounts reconciliation, hyperion financial management, oracle, record to report, sap hana, macros, sap, financial systems"
"customer service, application development, internet technologies, active directory, software support, css, python, networking"
"balance sheet, journal entries, general ledger, reporting analysis, record to report, macros, data analysis, mis reporting"
"java collections, java, j2ee, jenkins, github, continuous integration, bpmn, redux"
"redux, software development, javascript, react.js, web development, css, project management, software testing"
"ios, java, html, ux, javascript, css, adobe forms, sap implementation"
"performance tuning, cloud migration, sap bw, data warehousing concepts, hana data modeling, sap, oracle, data warehousing"
"content designing, training, content development, technical architecture, content writing, digital marketing, content editing, content management"
"balance sheet, balance sheet analysis, reconciliation, reporting analysis, record to report, data analysis, mis reporting, journal entries"
"spring boot, java, design patterns, full stack, software engineering, rest, css, python"
"sap fi, accounting, sap s hana, sap fico, finance, accounts receivable, accounts payable, sap"
"sql, data modeling, oracle retail merchandising system, rms, sql programming, oracle retail, oracle, retail sales"
"master black belt, six sigma, rpa, presentation skills, lean, aml, process excellence, lean six sigma"
"workday, recruitment operations, talent acquisition, recruitment, lateral hiring, screening, bulk hiring, hr operations"
"sap, sap ewm, software development life cycle, sap warehouse management, agile methodology, application development, sap s hana, business requirement analysis"
"project management, distribution, application development, jd edwards enterpriseone, software engineering, c#, bi publisher, erp"
"sap, information technology, application development, sap grc, access control, rest, css, web services"
"software development, javascript, react.js, web development, html, redux, css, version control"
"production, ms project, training, talent development, instructional design, ux, prototyping, user interface designing"
"sap, sap s hana, production planning, sap quality management, sap qm, sap qm module, oracle, sap sd"
"software testing, performance testing, test cases, software quality assurance, testing methodologies, sqa, quality control, automation testing"
"information technology, forecasting, budgeting, application development, tagetik, python, css, c++"
"information technology, sap abap development, hana database, sap hana, sap abap, sap cloud platform, sap netweaver gateway, eclipse"
"sourcing, organizational development, talent acquisition, recruitment, recruitment management, employee relations, hrsd, human resource management"
"network infrastructure, c++, information technology, java, mysql, python, software development, oracle"
"c++, system testing, performance measurement, docker, performance analysis, cuda, load runner, python"
"sql, software development life cycle, agile methodology, database creation, sdlc, autocad, jquery, plsql"
"technology architecture, stakeholder management, service delivery, incident management, cloud infrastructure, c#, oracle, system software"
"forecasting, budgeting, troubleshooting, software engineering, tagetik, c#, python, oracle"
"cloud application development, information technology, access control, oracle peoplesoft financials, oracle financials, cloud security, oracle, oracle fusion middleware"
"master data, software development life cycle, java, html, data maintenance, c#, css, oracle"
"sap, process analysis, presentation skills, signavio, process mining, project management, process design, business analysis"
"business requirement analysis, underwriting, claims management, policy management, finance, project management, business analysis, relational databases"
"oracle, oracle e-business suite, data modeling, ebs, oracle project accounting, python, bi, project billing"
"nagios, site reliability engineering, ansible, linux, aws, kubernetes, continuous integration, python"
"project management, sap fi, project management process, accounting, sap s hana, risk management, team management, delivery leadership"
"software development, hibernate, kanban, j2ee, scrum, oracle, eclipse, intellij idea"
"data analysis, business analysis, reporting analysis, reporting and analytics, safety, project management, data analytics, forecasting"
"creative writing, excellent verbal and written communication skills, presentation skills, content writing, sales, management skills, solid works, design engineering"
"accruals, manual testing, workforce management, workforce, kronos, project management, custom reports, application design"
"java fullstack, coding, java, full stack, jenkins, continuous integration, kubernetes, oracle"
"sap, sap sd, business analysis, supply chain management, scm, workday functional, project management, erp"
"python, critical incident management, application support, itil processes, powershell, production, documentation, microsoft azure"
"sap cloud platform, software engineering, sap, sapui5, agile, css, jquery, sql"
"cloud security, fortigate firewall, gcp, ngfw, data center migration, checkpoint, wan, email security"
"abap programming, sap abap development, sapui5, sap hana, sap abap, webdynpro, sap, webdynpro abap"
"Risk management, it risk management, application system, visualforce, sap, cyber security, iso, information security"
"Program Management, security compliance, network security, dlp, vulnerability management, siem, identity access management, threat modeling"
"vertical, content management, lms, email writing, ms office suite, team management, training, hrsd"
"application development, software development life cycle, troubleshooting, sdlc, agile methodology, c#, python, css"
"microsoft asp.net, sql server, .net, software engineering, html, c#, css, web services"
"merchandising, software development life cycle, java, oracle retail merchandising system, agile methodology, oracle, sql, plsql"
"accounts payable, procurement operations, invoice processing, procure to pay, procurement, strategic sourcing, purchase, purchase order"
"sap module, sap activate methodology, sap pp, sap quality management, sap qm, sap project management, sap, software development"
"informatica powercenter, data modeling, etl, data integration, informatica mdm, oracle, strong analytical skills, sql server"
"san, information technology, technology operations, storage area network, netapp storage, architectural design, nas, project management"
"svn, sql, software development life cycle, scrum, oracle procedural language, oracle, software development, version control"
"python, software development, git, flask, mongodb, rest, css, oracle"
"sap, application development, sap fico, troubleshooting, technical documentation, fico, project management, gap analysis"
"information technology, svn, sql, database creation, oracle procedural language, oracle, version control, plsql"
"information technology, software development life cycle, sap abap development, sapui5, sap hana, sap, software development, sap netweaver"
"customer service, insurance operations, record keeping, client support, customer experience, defined benefits, back office, presentation skills"
"oracle apps technical, integration framework, xml, mule esb, json, rest, css, oracle"
"ssi, schedule apex, triggers, customization apex, lwc, css, data validation, web services"
"project management, workday, business analysis, compensation, eib, workday functional, sap sd, compensation and benefits"
"financial systems, accounting, record to report, accounting system, desktop applications, macros, sap, journal entries"
"sap, oil, product management, product development, product vision, product strategy, project management, ux"
"configuring, cloud migration, sap bw, data modeling, hana data modeling, sap, oracle, performance tuning"
"merchandising, sql, data modeling, oracle retail merchandising system, sql programming, oracle retail, oracle, retail sales"
"customer service, insurance operations, customer support, client support, customer experience, defined benefits, operations management, project management"
"french language, linguistics, translation, french translation, french, spanish, language teaching, language editing"
"oracle, oracle e-business suite, data modeling, ebs, oracle project accounting, python, bi, oracle projects"
"salesforce platform, salesforce lightning, salesforce, web development, agile, rest, visualforce, css"
"data studio, jcl, db tuning, performance tuning, ibm db2, load runner, css, web services"
"mvp, salesforce lightning, software development life cycle, mvc, agile methodology, c#, css, power bi"
"data analysis, sas, bi, presentation skills, data integration, python, project management, data management"
"python, data engineering, database administration, sql, application development, hive, oracle, data analysis"
"design development, sql server, software development life cycle, e-learning, lms, c#, project management, oracle"
"sap, information technology, warehouse management system, sap warehouse management, wms, web services, sap sd, wmb"
"data management, microsoft - robotic process automation, waterfall, software engineering, agile, c#, rpa, asp.net mvc"
"python, aws iam, numpy, pandas, boto3, continuous integration, software testing, python development"
"qlikview, sql, java, database creation, troubleshooting, oracle, power bi, business intelligence"
"salesforce platform, salesforce lightning, salesforce, web development, soap, rest, visualforce, css"
"software development, java collections, spring, j2ee, agile, oracle, jsp, jdbc"
"kvm, vmware, operating systems, system administration, red hat os administration, python, networking, rhce"
"system software, technology architecture, networking products, technical architecture, cloud infrastructure, c#, project management, oracle"
"aix, project / program management, application support, linux, information systems, project management, management skills, customer service"
"visualforce, salesforce platform, salesforce lightning, software development life cycle, agile methodology, com, salesforce dx, ide"
"sap, sap abap development, hana database, sap hana, sap abap, software development, odata services, unit testing"
"mediclaim, provident fund, reconciliation, payroll processing, payroll, joining formalities, defined benefits, hr generalist activities"
"proposal development, sales, story writing, product management, agile, project management, written and oral communication, advertising"
"android, java, kotlin, android studio, android application development, gsm, hsdpa, manual testing"
"vmware, microsoft azure, cloud native, openstack, aws, kubernetes, hosting, openshift"
"salesforce lightning, application development, salesforce, business requirement analysis, technical documentation, rest, visualforce, css"
"risk management, business advisory, business analysis, strategic planning, talent management, management consulting, project management, business development"
"continuous integration, automation testing, quality engineering, devops, agile methodology, software testing, regression testing, manual testing"
"sap, information technology, software development life cycle, pi, api, rest, sap cloud platform, sap popi"
"machine learning, artificial intelligence, tensorflow, keras, machine learning algorithms, image processing, algorithms, chatbot"
"sap, application development, ariba, technical documentation, coupa, vendor management, accounts payable, oracle"
"data management, facilitation, sales, microsoft applications, sales operations, management skills, new business, business management"
"information technology, sap abap development, sap hana, sap abap, abap, rap, sap, strong analytical skills"
"debt collection, sales order, order to cash, billing, cash flow, accounts receivable, accounts payable, sap"
"information technology, forecasting, process analysis, financial planning, tagetik, python, budgeting, sql"
"journal entries, balance sheet reconciliation, general ledger, reporting analysis, record to report, data analysis, mis reporting, forecasting"
"power bi, order to cash, powerapps, ms office tools, dispute resolution, accounts receivable, operations management, back office operations"
"management consulting, business advisory, business analysis, strategy consulting, safety, company audit, auditing, business development"
"production, simulation, lean tools, process flow, discrete event simulation, adobe creative suite, adobe, photoshop"
"information technology, sap business objects data services, database management, data integration, etl process, sap bobj, sap, data warehousing"
"software development, intellij idea, java, kafka, j2ee, oracle, software quality, hibernate"
"css, html, javascript, angular, angularjs, web services, dbms, bootstrap"
"sap, project management process, process control, sap pp, production planning, c#, project management, team management"
"customer service, insurance operations, customer support, client support, customer experience, defined benefits, operations management, project management"
"design development, react.js, frontend development, javascript, application development, css, web services, bootstrap"
"information technology, sap bw, sap data services, data integration, etl process, sap bobj, sap, oracle"
"devops, linux, version control, terraform, unix operating system, container, openshift, docker"
"ats, workday, hrsd, talent acquisition, recruitment, leadership hiring, head hunting, screening"
"nas, project management, operations management, program management, business transformation, process excellence, process improvement, people management skills"
"zabbix, nagios, networking concepts, operating systems, java, kubernetes, python, production"
"oracle, balance sheet reconciliation, general ledger, record to report, client relationship, sap, journal entries, forecasting"
"software development, design patterns, devops, .net, asp, css, microsoft technologies, unit testing"
"architectural design, customer service, monitoring tools, storage area network, troubleshooting, operations management, project management, team management"
"software development life cycle, troubleshooting, net architecture, aws, sdlc, c#, oracle, sap"
"algorithms, software development, software testing, spring boot, java, rest, software quality, microservices"
"svn, sql, database design, git, oracle procedural language, rest, python, css"
"quality audit, quality control, auditing, quality management, safety, project management, apqp, iso"
"tosca testsuite, software development, software testing, jenkins, testing methodologies, c#, tosca, python"
"mysql database administration, sql, database design, ibm db2, design principles, c#, rest, c++"
"microsoft asp.net, sql server, asp.net, .net, asp, c#, css, unit testing"
"customer service, insurance operations, process documentation, client support, customer experience, defined benefits, operations management, project management"
"application design, data migration, hub, data hub, kronos, hybris, web services, jsp"
"service management, problem management, servicenow, itil processes, itil, project management, release management, iso"
"salesforce lightning, presentation skills, salesforce, debugging, ssis, c#, rest, css"
"Training, Implementations, Oracle Fusion SCM, Training Content, Certification Development"
"Training, Training Content, Oracle Fusion Hcm, Certification Development, Implementation"
"JLPT N3, Japanese Language, Accounts payable, JLPT, Languages, Accounting, Japanese, Payables"
"Sfdc Development, Salesforce Marketing Cloud, Sales Force Development, Sales, SFDC, Cloud, Marketing Cloud, Development"
"HRBP, HR Strategy, Business Understanding, Initiative, Attrition Management, D&I, Performance Management, Talent Management"
"SAP ABAP, Sap Abap Hana, Abap, TCAE, Hiring, Abap On Hana, Consulting, SAP"
"Bfsi Recruitment, Financial Services, Non IT Recruitment, Lateral Hiring, End To End Recruitment, Non Technical Recruitment, Sourcing Profiles, Interview Coordination"
"Java, System Design, Data Structures, OOPS, Microservices, Distribution System, Priduct development, Algorithms"
"Ticketing, Good Comm Skills, Customer support, Voice, Comm, Comm Skills"
"sap, sap fi, sap sd, accounting, sap mm, project management, gap analysis, business analysis"
"software testing, application development, sap ewm, debugging, sap warehouse management, c#, asp.net mvc, sap"
"j2ee, jvm, wiremock, spring boot, aws, css, c++, web services"
"software development, java collections, spring, kafka, j2ee, oracle, jsp, jdbc"
"java fullstack, software development life cycle, java, full stack, sdlc process, project management, oracle, version control"
"blackline, reconciliation, account management, r2r, record to report, balance sheet, macros, data analysis"
"talent development, talent management, talent acquisition, employee engagement, recruitment, hr generalist activities, corporate hr, training"
"balance sheet, blackline, reconciliation, account management, record to report, financial analysis, sap, mis reporting"
"rest, hibernate, design patterns, j2ee, software engineering, software development, web services, software testing"
"sap erp, sap crm, software development life cycle, sdlc, agile methodology, erp, sap, javascript"
"warehouse, sap ewm, software development life cycle, sap warehouse management, agile methodology, process integration, sap, oracle"
"sap, sap cloud platform, authorization, sap web ide, api, rest, css, api management"
"java fullstack, java, design patterns, database creation, full stack, software development, oracle, software testing"
"sap, information technology, sap mm materials management, business requirement analysis, sap mm, sap project management, software testing, cin"
"spring, software development life cycle, java, j2ee, agile methodology, rest, web services, version control"
"sql server, database design, software development methodologies, design principles, sql programming, security management, c#, performance tuning"
"microservices, spring boot, light weight architecture, devops, j2ee, kubernetes, microsoft azure, control-m"
"web services, angular, software development methodologies, web development, html, c#, rest, css"
"apple ios application development, version control, ios design, git, design principles, rest, performance tuning, xcode"
"spring, debugging, agile methodology, spring boot, troubleshooting, css, web services, dbms"
"kubernetes, docker, ansible, devops, jenkins, rest, python, nagios"
"data analysis, tibco spotfire, sql, java, database creation, python, oracle, power bi"
"information technology, database design, data modeling, design principles, sap businessobjects, python, sap, power bi"
"configuring, sap, operating systems, application lifecycle management, e2e, c++, software development, information technology"
"java, data modeling, oracle retail merchandising system, oracle business intelligence, obiee, oracle pl, oracle retail, oracle"
"software development life cycle, java, webmethods fabric, mft, agile methodology, rest, web services, jdbc"
"software development, intellij idea, spring, java, j2ee, oracle, hibernate, eclipse"
"sap, application design, application development, stakeholder management, sap grc, c#, asp.net mvc, project management"
"campaign management, strategy consulting, general management, research analysis, market research, project management, marketing analytics, sales growth"
"graphics, visual design, production processes, video production, windows operating system, dreamweaver, production, adobe after effects"
"information technology, critical incident management, incident management, application support, itil processes, production, documentation, microsoft azure"
"financial analysis, power bi, variance analysis, budgeting, fpa, accounts payable, mis reporting, forecasting"
"accounts reconciliation, journal entries, forecasting, balance sheet reconciliation, record to report, financial analysis, sap, mis reporting"
"accounts reconciliation, accounting, reporting analysis, record to report, financial reporting, data analysis, mis reporting, journal entries"
"design development, react.js, frontend development, javascript, application development, css, web services, bootstrap"
"debt collection, power bi, order to cash, collections process, dispute resolution, accounts receivable, team management, customer service"
"accounts receivable, bill processing, accounting, order to cash, billing, vendor management, accounts payable, tds"
"customer service, customer service management, people leadership, customer queries, crm, project management, operations management, team management"
"program management, technology operations, project / program management, service delivery, stakeholder management, project management, information technology, management skills"
"apple ios application development, android, ios, ios design, design principles, c#, rest, css"
"react.js, react native, application development, app development, flutter, css, design development, web services"
"scala, gen, statistical modeling, vector, machine learning algorithms, advanced analytics, python, data analysis"
"python, power bi, emr, spark, life sciences, hypothesis testing, spotfire, microsoft azure"
"customer operations, bill processing, documentation, order to cash, email writing, vendor management, operations management, back office"
"team handling, presentation skills, order to cash, collections process, performance management, hira, risk assessment, vlsi design"
"magic, catia, plm, enovia, tcl, c++, caa, end to end application development"
"threat analysis, cyber security, vulnerability management, identity access management, stakeholder management, cloud security, microsoft azure, solution development"
"salesforce platform, salesforce lightning, salesforce, web development, html, rest, visualforce, css"
"sap, software development, sap scripts, sap hcm, abap, c#, python, c++"
"ms dynamics crm, javascript, software development life cycle, microsoft dynamics crm technical, sdlc, c#, strong analytical skills, sql server"
"dns, microsoft windows server administration, it operations, support process, troubleshooting, tcp, mcitp, windows xp"
"rest, software development, hibernate, spring boot, java, c#, css, python"
"5g architecture, call flow, debugging, epc, protocols, kubernetes, openshift, vmware"
"forecasting, budgeting, client relationship, financial planning, cost analysis, accounts payable, sap, oracle"
"ln, workbrain, java, infor, wfm, baan, accounts payable, oracle"
"kpi, order to cash, sales, application processing, cash flow, operations management, attrition, customer service"
"customer operations, bill processing, documentation, order to cash, email writing, vendor management, operations management, back office"
"application development, sql, service fulfillment, agile, agile methodology, c#, etom, oracle"
"design analysis, talent development, design engineering, autocad, pro-e, algorithms, project management, mechanical engineering"
"security compliance, cloud security, information technology, compliance management, security framework, risk management, cyber security, iso"
"information technology, sharepoint administration, sharepoint, technology operations, application support, c#, rest, javascript"
"accounts payable, procurement operations, invoice processing, procure to pay, p2p, vendor management, strategic sourcing, purchase"
"talent development, microsoft office suite, content development, record to report, training need analysis, project management, data analysis, windows xp"
"sap abap hana, idocs, sap abap development, sap hana, sap abap, data conversion, sap, web services"
"financial analysis, power bi, variance analysis, budgeting, fpa, operations management, forecasting, costing"
"sap bods, sap business objects data services, sap s hana, abap, idoc, fico, data services, lsmw"
"python, software development life cycle, flask, sdlc, agile methodology, c++, oracle, javascript"
"csv, pharmacovigilance, service delivery, clinical trials, service delivery management, pq, capa, risk management"
"production, visual design, video production, media production, windows operating system, fine arts, typography, dreamweaver"
"network infrastructure, information technology, hardware networking, troubleshooting, network troubleshooting, network engineering, operational support, service management"
"ich, computer system validation, sap attp, sap, documentation, pq, sap sd, test scripts"
"information technology, operating systems, technology operations, veritas netbackup, technical support, project management, networking, system administration"
"facilitation, agile process, coaching, agile methodology, mentoring, nexus, css, bootstrap"
"sap, cloud development, sap module, development methodologies, sap abap, c#, cloud integration, android"
"python, software development, numpy, database creation, jenkins, project management, javascript, nosql"
"accounts reconciliation, customer service, insurance operations, client support, customer experience, defined benefits, operations management, banking operations"
"sap s hana, sap fico, sap, sap co, sap co product cost controlling, c++, css, sap fi"
"software development, golang, java, design patterns, mysql, rest, python, css"
"accruals, workforce management, sql, workforce, kronos, resource management, project management, workday"
"project management, business analysis, talent development, transition, training need analysis, training management, training, talent management"
"machine learning, artificial intelligence, tensorflow, keras, machine learning algorithms, image processing, algorithms, chatbot"
"project management, python, java, spark, ai techniques, software consulting, kubernetes, continuous integration"
"information technology, data architecture, data architecture principles, etl, data integration, oracle, workday, microsoft azure"
"customer service, insurance operations, customer support, client support, customer experience, defined benefits, operations management, project management"
"functional, openlink endur, emission, waterfall, .net, ctrm, project management, etrm"
"boomi, gxp, master data, dell boomi atomsphere, data hub, css, hibernate, sql"
"customer service, insurance operations, sales, client support, customer experience, defined benefits, anti money laundering, banking operations"
"trading, capital market, derivatives, trade processing, fixed income derivatives, financial analysis, investment banking, hedge funds"
"approval process, workflow rules, validation rules, customization apex, salesforce service cloud, visualforce, sfdc, schedule apex"
"distribution, sap presales, sd, sap global trade services, computer system validation, sap logistics execution, sap, software development"
"vue.js, software development methodologies, web development, html, microsoft front end development, css, version control, bootstrap"
"customer service, insurance operations, sales, client support, customer experience, defined benefits, operations management, project management"
"cloud security, endpoint protection, ipsec, ngfw, data center migration, checkpoint, microsoft azure, fortigate firewall"
"workday, workday reporting, matrix, acquisition, prism, workday integration, c#, workday functional"
"technical support, application support, troubleshooting, technical documentation, itil, networking, sql, bmc remedy"
"network management, service improvement, troubleshooting, shell scripting, itil, plaster, flooring, operations management"
"net fullstack, software development life cycle, design patterns, software engineering, sdlc, css, sql server, javascript"
"debt collection, power bi, order to cash, collections process, dispute resolution, accounts receivable, team management, customer service"
"customer operations, bill processing, documentation, order to cash, email writing, vendor management, operations management, back office"
"software development, angular, git, web development, microsoft front end development, css, version control, vue.js"
"sap presales, devops, microsoft azure, application development, azure integration services, ado.net, biztalk server, sales"
"net fullstack, software development, software testing, angular, debugging, c#, css, python"
"sap, distribution, sap presales, application development, sap application development, project management, sap project management, sap sd"
"python, machine learning, deep learning, etl, ml, image processing, chatbot, c++"
"trading, capital market, derivatives, trade processing, fixed income derivatives, financial analysis, investment banking, hedge funds"
"sap, sap fi, accounting, sap co, sap pm, workday functional, accounts receivable, accounts payable"
"sql, ibm datastage, software development, scrum, agile, data warehousing, dbms, master data management"
"adobe, sales, presentation design, adobe acrobat, illustrator, adobe after effects, infographics, presentation skills"
"software development, software testing, sql server, .net, debugging, c#, microsoft technologies, microsoft azure"
"image processing, neural networks, machine learning, deep learning, ml, chatbot, python, natural language processing"
"abap development, sap abap development, sap hana, sap module, abap, css, web services, sap fi"
"java standard edition, software development life cycle, java, sdlc, agile methodology, rest, web services, jsp"
"financial analysis, power bi, variance analysis, budgeting, fpa, accounts payable, mis reporting, forecasting"
"risk assessment, cloud security, information technology, dlp, data loss prevention, security operations, cyber security, information security"
"accounts reconciliation, accounting, reporting analysis, record to report, financial reporting, data analysis, mis reporting, journal entries"
"javascript, react.js, software development methodologies, web development, microsoft front end development, c#, rest, front end"
"accounts reconciliation, business management, forecasting, autocad, record to report, tds, project management, business analysis"
"sap basis, db administration, hana db, sap basis administration, sap hana, sap, oracle, operating systems"
"trading, asset management, portfolio analysis, capital market, asset, financial analysis, risk management, investment banking"
"c++, data management, oracle, software development, java, c#, python, epbcs"
"python, natural language processing, presentation skills, coding, r, image processing, algorithms, chatbot"
"financial analysis, credit analysis, underwriting, asset, commercial lending, credit underwriting, lending, collaterals"
"power bi, order to cash, powerapps, ms office tools, dispute resolution, accounts receivable, operations management, back office operations"
"information technology, hyperion essbase, business rules, oracle bi apps, oracle hyperion, hyperion financial management, essbase, oracle"
"information technology, software development life cycle, troubleshooting, sap procurement, agile methodology, sap, im, solution development"
"accounts reconciliation, journal entries, forecasting, balance sheet reconciliation, record to report, financial analysis, sap, mis reporting"
"event management, information security, siem, soar, log analytics, risk management, python, cloud security"
"performance tuning, enovia, installation, 3dexperience, tcl, python, management skills, mql"
"magic, catia, cloud support, enovia, tcl, c++, project management, caa"
"software development life cycle, java, siemens teamcenter, html, agile methodology, teamcenter, css, c++"
"customer service, insurance operations, omni, record keeping, customer experience, defined benefits, mainframes, banking operations"
"project management, information technology, records management, data loss prevention, data classification, risk management, management skills, delivery leadership"
"data analysis, power bi, automation tools, sap basis, sap basis administration, c#, software testing, entity framework"
"accruals, workforce management, integration testing, workforce, kronos, resource management, project management, custom reports"
"software development, javascript, microservices, react.js, web development, redux, rest, css"
"event management, siem, windows os, linux, unix, security compliance, risk management, information technology"
"accounts reconciliation, customer service, insurance operations, client support, customer experience, defined benefits, operations management, project management"
"sap ewm, direct purchase, wm, sap warehouse management, ewm, fda, project management, css"
"sap, sap sd, distribution, sap presales, sd, erp, project management, sap project management"
"project management, software development, portfolio, software development methodologies, data visualization, business leadership, program management, pmp"
"boomi, gxp, master data, dell boomi atomsphere, data hub, css, hibernate, sql"
"software development life cycle, vault, agile methodology, veeva, sdlc, css, jquery, apex"
